Scheme Code;Scheme Name;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Debt Scheme - Overnight Fund )


Aditya Birla Sun Life Mutual Fund
145488;ADITYA BIRLA SUN LIFE OVERNIGHT FUND-  Direct - Monthly Payout of IDCW;INF209KB1ZL4;;1002.2366;;;14-Jun-2025
145489;ADITYA BIRLA SUN LIFE OVERNIGHT FUND-  Direct - Weekly Reinvestment of IDCW;;INF209KB1ZJ8;1000.1762;;;14-Jun-2025
145482;ADITYA BIRLA SUN LIFE OVERNIGHT FUND-  Regular - Weekly Reinvestment of IDCW option;;INF209KB1ZE9;1000.1596;;;14-Jun-2025
145487;ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Direct - Daily Reinvestment of IDCW;;INF209KB1ZI0;1000.1628;;;14-Jun-2025
145483;ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Regular - Daily Reinvestment of IDCW;;INF209KB1ZD1;1000.1619;;;14-Jun-2025
145485;ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Regular- Monthly Payout of IDCW option;INF209KB1ZG4;;1002.1922;;;14-Jun-2025
145486;ADITYA BIRLA SUN LIFE OVERNIGHT FUND-DIRECT PLAN-GROWTH;INF209KB1ZH2;;1397.4668;;;14-Jun-2025
145481;ADITYA BIRLA SUNLIFE OVERNIGHT FUND-REGULAR PLAN-GROWTH;INF209KB1ZC3;;1386.8175;;;14-Jun-2025

Axis Mutual Fund
146679;Axis Overnight Fund - Direct Plan - Daily IDCW;;INF846K01N99;1000.5073;;;14-Jun-2025
146675;Axis Overnight Fund - Direct Plan - Growth Option;INF846K01N65;;1367.2886;;;14-Jun-2025
146677;Axis Overnight Fund - Direct Plan - Monthly IDCW;INF846K01N73;INF846K01N81;1003.7109;;;14-Jun-2025
146676;Axis Overnight Fund - Direct Plan - Weekly IDCW;INF846K01N40;INF846K01N57;1001.4075;;;14-Jun-2025
146682;Axis Overnight Fund - Regular Plan - Daily IDCW;;INF846K01O56;1000.5032;;;14-Jun-2025
146678;Axis Overnight Fund - Regular Plan - Growth Option;INF846K01O23;;1362.6620;;;14-Jun-2025
146681;Axis Overnight Fund - Regular Plan - Monthly IDCW;INF846K01O31;INF846K01O49;1003.6836;;;14-Jun-2025
146680;Axis Overnight Fund - Regular Plan - Weekly IDCW;INF846K01O07;INF846K01O15;1001.3658;;;14-Jun-2025

Bajaj Finserv Mutual Fund
153437;Bajaj Finserv Overnight Fund - Direct - Unclaimed less than 3 years IDCW Plan;INF0QA701AE3;;1008.1034;;;14-Jun-2025
153438;Bajaj Finserv Overnight Fund - Direct - Unclaimed less than 3 years Redemption Plan;INF0QA701AF0;;1012.4028;;;14-Jun-2025
151843;Bajaj Finserv Overnight Fund - Direct Plan - Daily - IDCW;;INF0QA701185;1033.1412;;;14-Jun-2025
151850;Bajaj Finserv Overnight Fund - Direct Plan - Fortnightly - IDCW;INF0QA701235;INF0QA701201;1034.9700;;;14-Jun-2025
151849;Bajaj Finserv Overnight Fund - Direct Plan - Growth;INF0QA701177;;1133.1016;;;14-Jun-2025
151845;Bajaj Finserv Overnight Fund - Direct Plan - Monthly - IDCW;INF0QA701243;INF0QA701219;1037.9261;;;14-Jun-2025
151844;Bajaj Finserv Overnight Fund - Direct Plan - Weekly - IDCW;INF0QA701227;INF0QA701193;1033.8688;;;14-Jun-2025
151852;Bajaj Finserv Overnight Fund - Regular Plan - Daily - IDCW;;INF0QA701292;1032.8859;;;14-Jun-2025
151847;Bajaj Finserv Overnight Fund - Regular Plan - Fortnightly - IDCW;INF0QA701318;INF0QA701276;1034.7186;;;14-Jun-2025
151851;Bajaj Finserv Overnight Fund - Regular Plan - Growth;INF0QA701250;;1132.0005;;;14-Jun-2025
151848;Bajaj Finserv Overnight Fund - Regular Plan - Monthly - IDCW;INF0QA701326;INF0QA701284;1037.6213;;;14-Jun-2025
151846;Bajaj Finserv Overnight Fund - Regular Plan - Weekly - IDCW;INF0QA701300;INF0QA701268;1033.6090;;;14-Jun-2025

Bandhan Mutual Fund
146190;BANDHAN Overnight Fund - Direct Plan - Daily IDCW;INF194KB1462;INF194KB1470;1000.1505;;;14-Jun-2025
146191;BANDHAN Overnight Fund - Direct Plan - Growth;INF194KB1447;;1377.9174;;;14-Jun-2025
146183;BANDHAN Overnight Fund - Direct Plan - Monthly IDCW;INF194KB1496;INF194KB1504;1002.4093;;;14-Jun-2025
146184;BANDHAN Overnight Fund - Direct Plan - Periodic IDCW;INF194KB1520;INF194KB1538;1255.5049;;;14-Jun-2025
146192;BANDHAN Overnight Fund - Direct Plan - Weekly IDCW;INF194KB1553;INF194KB1561;1000.1772;;;14-Jun-2025
146188;BANDHAN Overnight Fund - Regular Plan - Daily IDCW;INF194KB1330;INF194KB1348;1000.1455;;;14-Jun-2025
146187;BANDHAN Overnight Fund - Regular Plan - Growth;INF194KB1314;;1368.3515;;;14-Jun-2025
146185;BANDHAN Overnight Fund - Regular Plan - Monthly IDCW;INF194KB1363;INF194KB1371;1002.3817;;;14-Jun-2025
146189;BANDHAN Overnight Fund - Regular Plan - Weekly IDCW;INF194KB1421;INF194KB1439;1001.0688;;;14-Jun-2025
146186;BANDHAN Overnight Fund - REGULAR PLAN PERIODIC IDCW;INF194KB1397;INF194KB1405;1252.0404;;;14-Jun-2025

Bank of India Mutual Fund
147951;BANK OF INDIA Overnight Fund Direct Plan Growth;INF761K01EU7;;1311.2080;;;14-Jun-2025
147952;BANK OF INDIA Overnight Fund Direct Plan- Daily IDCW;;INF761K01EV5;1000.0000;;;14-Jun-2025
147948;BANK OF INDIA Overnight Fund Direct Plan- Monthly IDCW;INF761K01EY9;INF761K01EX1;1002.9014;;;14-Jun-2025
147936;BANK OF INDIA Overnight Fund Regular Plan Growth;INF761K01EZ6;;1307.6358;;;14-Jun-2025
147953;BANK OF INDIA Overnight Fund Regular Plan- Daily IDCW;;INF761K01FA6;1000.0000;;;14-Jun-2025
147949;BANK OF INDIA Overnight Fund Regular Plan- Monthly IDCW;INF761K01FD0;INF761K01FC2;1002.8869;;;14-Jun-2025
147947;BANK OF INDIA Overnight Fund Regular Plan- Weekly IDCW;;INF761K01FB4;1000.7493;;;14-Jun-2025
149412;BANK OF INDIA Overnight Fund Unclaimed IDCW Plan - Greater than 3 Years;;;1000.0000;;;14-Jun-2025
149414;BANK OF INDIA Overnight Fund Unclaimed IDCW Plan - Up to 3 Years;;;1232.8516;;;14-Jun-2025
149415;BANK OF INDIA Overnight Fund Unclaimed Redemption Plan - Greater than 3 Years;;;1000.0000;;;14-Jun-2025
149413;BANK OF INDIA Overnight Fund Unclaimed Redemption Plan - Upto 3 Years;;;1233.1450;;;14-Jun-2025

Baroda BNP Paribas Mutual Fund
147197;Baroda BNP Paribas Overnight Fund - Direct Plan - Daily IDCW;;INF955L01HW2;1000.0028;;;14-Jun-2025
147196;Baroda BNP Paribas Overnight Fund - Direct Plan - Growth;INF955L01HV4;;1356.9423;;;14-Jun-2025
147195;Baroda BNP Paribas Overnight Fund - Direct Plan - Weekly IDCW;;INF955L01HX0;1000.6669;;;14-Jun-2025
149988;Baroda BNP Paribas Overnight Fund - Plan C - Unclaimed IDCW - Greater than 3 years;;;1000.0000;;;14-Jun-2025
149991;Baroda BNP Paribas Overnight Fund - Plan C - Unclaimed IDCW - Up to 3 years;;;1217.4711;;;14-Jun-2025
149990;Baroda BNP Paribas Overnight Fund - Plan C - Unclaimed Redemption - Greater than 3 years;;;1000.0000;;;14-Jun-2025
149989;Baroda BNP Paribas Overnight Fund - Plan C - Unclaimed Redemption - Up to 3 years;;;1217.4572;;;14-Jun-2025
147194;Baroda BNP Paribas Overnight Fund - Regular Plan - Daily IDCW;;INF955L01HT8;1000.0018;;;14-Jun-2025
147193;Baroda BNP Paribas Overnight Fund - Regular Plan - Growth;INF955L01HS0;;1351.5594;;;14-Jun-2025
147198;Baroda BNP Paribas Overnight Fund - Regular Plan - Weekly IDCW;;INF955L01HU6;1001.1430;;;14-Jun-2025

Canara Robeco Mutual Fund
147532;CANARA ROBECO OVERNIGHT FUND - DIRECT PLAN - DAILY IDCW (Reinvestment);;INF760K01JN3;1001.0012;;;14-Jun-2025
147531;CANARA ROBECO OVERNIGHT FUND - DIRECT PLAN - GROWTH OPTION;INF760K01JM5;;1334.3235;;;14-Jun-2025
147533;CANARA ROBECO OVERNIGHT FUND - REGULAR PLAN - DAILY IDCW (Reinvestment);;INF760K01JP8;1001.0000;;;14-Jun-2025
147534;CANARA ROBECO OVERNIGHT FUND - REGULAR PLAN - GROWTH OPTION;INF760K01JO1;;1333.0309;;;14-Jun-2025

DSP Mutual Fund
146062;DSP Overnight Fund - Direct Plan - Growth;INF740KA1MC8;;1383.8757;;;14-Jun-2025
146065;DSP Overnight Fund - Direct Plan - IDCW - Daily;;INF740KA1OR2;1000.1572;;;14-Jun-2025
146061;DSP Overnight Fund - Regular Plan - Growth;INF740KA1MB0;;1376.7142;;;14-Jun-2025
146066;DSP Overnight Fund - Regular Plan - IDCW - Daily;;INF740KA1OU6;1000.1551;;;14-Jun-2025
146063;DSP Overnight Fund - Regular Plan - IDCW - Weekly;INF740KA1OV4;INF740KA1OW2;1001.0561;;;14-Jun-2025
149313;Unclaimed IDCW - Beyond 3 years (Invested in DSP Overnight Fund);;;10.0015;;;14-Jun-2025
149312;Unclaimed IDCW - Upto 3 years (Invested in DSP Overnight Fund);;;12.3272;;;14-Jun-2025
149311;Unclaimed Redemption - Beyond 3 years (Invested in DSP Overnight Fund);;;10.0015;;;14-Jun-2025
149310;Unclaimed Redemption - Upto 3 years (Invested in DSP Overnight Fund);;;12.3272;;;14-Jun-2025

Edelweiss Mutual Fund
147551;Edelweiss Overnight Fund - Direct Plan - Annual - IDCW Option;INF754K01KD5;INF754K01KC7;1337.4222;;;14-Jun-2025
147557;Edelweiss Overnight Fund - Direct Plan - Daily - IDCW Option;;INF754K01JW7;1000.1313;;;14-Jun-2025
147570;Edelweiss Overnight Fund - Direct Plan - Growth;INF754K01JV9;;1336.9652;;;14-Jun-2025
147554;Edelweiss Overnight Fund - Direct Plan - Monthly - IDCW Option;INF754K01KB9;INF754K01KA1;1060.6513;;;14-Jun-2025
147556;Edelweiss Overnight Fund - Regular Plan - Annual - IDCW Option;INF754K01KM6;INF754K01KL8;1332.5979;;;14-Jun-2025
147552;Edelweiss Overnight Fund - Regular Plan - Daily - IDCW Option;;INF754K01KF0;1008.3152;;;14-Jun-2025
147549;Edelweiss Overnight Fund - Regular Plan - Fortnightly - IDCW Option;INF754K01KI4;INF754K01KH6;1095.1198;;;14-Jun-2025
147569;Edelweiss Overnight Fund - Regular Plan - Growth;INF754K01KE3;;1332.5929;;;14-Jun-2025
147555;Edelweiss Overnight Fund - Regular Plan - Monthly - IDCW Option;INF754K01KK0;INF754K01KJ2;1007.3706;;;14-Jun-2025
147553;Edelweiss Overnight Fund - Regular Plan - Weekly - IDCW Option;;INF754K01KG8;1017.0447;;;14-Jun-2025
149476;Edelweiss Overnight Fund - Unclaimed IDCW Plan - Above 3 years;;;1000;;;14-Jun-2025
149477;Edelweiss Overnight Fund - Unclaimed IDCW Plan - Upto 3 years;;;1223.251;;;14-Jun-2025
149479;Edelweiss Overnight Fund - Unclaimed Redemption Plan - Above 3 years;;;1000;;;14-Jun-2025
149478;Edelweiss Overnight Fund - Unclaimed Redemption Plan - Upto 3 years;;;1223.2495;;;14-Jun-2025

Franklin Templeton Mutual Fund
147213;Franklin India Overnight fund- Growth;INF090I01SO8;;1343.0007;;;14-Jun-2025
147214;Franklin India Overnight Fund- Growth - Direct;INF090I01SS9;;1347.1784;;;14-Jun-2025

HSBC Mutual Fund
147291;HSBC Overnight Fund - Direct Daily IDCW;;INF336L01OG4;1000.1518;;;14-Jun-2025
147287;HSBC Overnight Fund - Direct Growth;INF336L01OF6;;1351.9997;;;14-Jun-2025
147300;HSBC Overnight Fund - Direct Monthly IDCW;INF336L01OK6;INF336L01OI0;1002.8582;;;14-Jun-2025
147296;HSBC Overnight Fund - Direct Weekly IDCW;INF336L01OJ8;INF336L01OH2;1000.5821;;;14-Jun-2025
147289;HSBC Overnight Fund - Regular Daily IDCW;;INF336L01OM2;1000.1553;;;14-Jun-2025
147290;HSBC Overnight Fund - Regular Growth;INF336L01OL4;;1341.375;;;14-Jun-2025
147301;HSBC Overnight Fund - Regular Monthly IDCW;INF336L01OQ3;INF336L01OO8;1002.8051;;;14-Jun-2025
147288;HSBC Overnight Fund - Regular Weekly IDCW;INF336L01OP5;INF336L01ON0;1000.5956;;;14-Jun-2025
150501;HSBC Overnight Fund - Unclaimed IDCW Above three years;;;1000;;;14-Jun-2025
150499;HSBC Overnight Fund - Unclaimed IDCW Below three years;;;1199.898;;;14-Jun-2025
150500;HSBC Overnight Fund - Unclaimed Redemption above three years;;;1000;;;14-Jun-2025
150502;HSBC Overnight Fund - Unclaimed Redemption Below three years;;;1199.9076;;;14-Jun-2025

Invesco Mutual Fund
147884;Invesco India Overnight Fund - Direct Plan - Daily IDCW (Reinvestment);;INF205KA1122;1000.5303;;;14-Jun-2025
147883;Invesco India Overnight Fund - Direct Plan - Growth;INF205KA1163;;1305.3993;;;14-Jun-2025
147886;Invesco India Overnight Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment);INF205KA1155;INF205KA1148;1002.4304;;;14-Jun-2025
147880;Invesco India Overnight Fund - Regular Plan - Daily IDCW (Reinvestment);;INF205KA1072;1000.1395;;;14-Jun-2025
147878;Invesco India Overnight Fund - Regular Plan - Growth;INF205KA1114;;1301.3828;;;14-Jun-2025
147879;Invesco India Overnight Fund - Regular Plan - Monthly IDCW (Payout / Reinvestment);INF205KA1106;INF205KA1098;1002.5169;;;14-Jun-2025
147881;Invesco India Overnight Fund - Regular Plan - Weekly IDCW (Reinvestment);;INF205KA1080;1000.9291;;;14-Jun-2025

ITI Mutual Fund
147713;ITI Overnight Fund - Direct Plan - Growth Option;INF00XX01564;;1309.8447;;;14-Jun-2025
147717;ITI Overnight Fund - Direct Plan - Monthly IDCW Option;INF00XX01630;INF00XX01606;1003.6032;;;14-Jun-2025
147709;ITI Overnight Fund - Regular Plan - Daily IDCW Option;;INF00XX01481;1000.9998;;;14-Jun-2025
147716;ITI Overnight Fund - Regular Plan - Fortnightly IDCW Option;INF00XX01531;INF00XX01507;1001.4192;;;14-Jun-2025
147714;ITI Overnight Fund - Regular Plan - Growth Option;INF00XX01473;;1302.3623;;;14-Jun-2025
147718;ITI Overnight Fund - Regular Plan - Monthly IDCW Option;INF00XX01549;INF00XX01515;1001.0714;;;14-Jun-2025
147712;ITI Overnight Fund - Regular Plan - Weekly IDCW Option;;INF00XX01499;1001.5345;;;14-Jun-2025

Kotak Mahindra Mutual Fund
146141;Kotak Overnight Fund -Direct Plan-Growth Option;INF174KA1BF9;;1378.3011;;;14-Jun-2025
146142;Kotak Overnight Fund -Regular plan-Growth Option;INF174KA1BC6;;1370.1988;;;14-Jun-2025
146140;Kotak Overnight Fund-Direct Plan- Daily Reinvestment of Income Distribution cum capital withdrawal option;;INF174KA1BE2;1003.7486;;;14-Jun-2025
146138;Kotak Overnight Fund-Regular Plan- Daily Reinvestment of Income Distribution cum capital withdrawal option;;INF174KA1BB8;1004.897;;;14-Jun-2025

LIC Mutual Fund
147516;LIC MF Overnight Fund-Direct Plan-Daily IDCW;;INF767K01QG7;1072.5528;;;14-Jun-2025
147515;LIC MF Overnight Fund-Direct Plan-Growth;INF767K01QI3;;1339.2309;;;14-Jun-2025
147513;LIC MF Overnight Fund-Direct Plan-IDCW;INF767K01QE2;INF767K01QF9;1339.1859;;;14-Jun-2025
147514;LIC MF Overnight Fund-Direct Plan-Weekly IDCW;;INF767K01QH5;1043.4711;;;14-Jun-2025
